OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;lamposumma_v;rainfall_v;;
2;3574450;7074350;Valtimo;2060;19610324;1961;3;24;3575000;7075000;-4.1;-0.8;-9.2;0;7278;3.59;0;92;;
2;3574450;7074350;Valtimo;2060;19610325;1961;3;25;3575000;7075000;-3.8;-0.6;-6.6;0;5207;3.57;0;92;;
2;3574450;7074350;Valtimo;2060;19610326;1961;3;26;3575000;7075000;-4.4;0.8;-15.7;7;2617;4.2;0;99;;
2;3574450;7074350;Valtimo;2060;19610327;1961;3;27;3575000;7075000;-3.2;1.7;-5.5;2;2921;4.47;0;101;;
2;3574450;7074350;Valtimo;2060;19610328;1961;3;28;3575000;7075000;-4.2;-1.3;-6.6;0;4484;3.58;0;101;;
2;3574450;7074350;Valtimo;2060;19610329;1961;3;29;3575000;7075000;-8.3;-0.4;-19.6;0;10647;2.13;0;101;;
2;3574450;7074350;Valtimo;2060;19610330;1961;3;30;3575000;7075000;-7.7;-1.3;-19.2;3;9106;2.97;0;104;;
2;3574450;7074350;Valtimo;2060;19610331;1961;3;31;3575000;7075000;-4.4;-2.5;-6.3;0;3960;3.74;0;104;;
2;3574450;7074350;Valtimo;2060;19610401;1961;4;1;3575000;7075000;-5.9;-1.8;-11.3;0;6442;3.2;0;104;;
2;3574450;7074350;Valtimo;2060;19610402;1961;4;2;3575000;7075000;-5.8;1.6;-14.3;0;10935;2.87;0;104;;
2;3574450;7074350;Valtimo;2060;19610403;1961;4;3;3575000;7075000;-7;-0.4;-15.7;0;8141;2.92;0;104;;
2;3574450;7074350;Valtimo;2060;19610404;1961;4;4;3575000;7075000;-7.2;2.3;-17.9;0;11273;2.8;0;104;;
2;3574450;7074350;Valtimo;2060;19610405;1961;4;5;3575000;7075000;-5.7;3.5;-17.1;0;11430;2.79;0;104;;
2;3574450;7074350;Valtimo;2060;19610406;1961;4;6;3575000;7075000;-5.2;2.1;-15.7;0;7396;3.92;0;104;;
2;3574450;7074350;Valtimo;2060;19610407;1961;4;7;3575000;7075000;-1.8;1.4;-8.5;0;6424;4.66;0;104;;
2;3574450;7074350;Valtimo;2060;19610408;1961;4;8;3575000;7075000;-1.5;2.5;-4.7;1;6818;4.76;0;105;;
2;3574450;7074350;Valtimo;2060;19610409;1961;4;9;3575000;7075000;-5.4;-0.5;-14.5;1;8432;3.63;0;106;;
2;3574450;7074350;Valtimo;2060;19610410;1961;4;10;3575000;7075000;-4.5;-1.1;-8.4;0;11627;2.88;0;106;;
2;3574450;7074350;Valtimo;2060;19610411;1961;4;11;3575000;7075000;-7.6;-2.1;-18.2;0;11126;2.45;0;106;;
