datetime,runoff[m/day],nexport[kg/ha],nconc[mg/l],pexport[kg/ha],pconc[mg/l],N,P
2016-06-30,0.009027885273098946,0.04908815553653077,0.5669545973461743,0.002168201580877819,0.02495424514011566,0.043209,0.001818
2016-07-31,0.008856404572725296,0.05021179288464287,0.5830967329936165,0.002210048907678283,0.0252774381458903,0.2817050000000001,0.009237
2016-08-31,0.008270160295069218,0.048223034493883835,0.59347737292713,0.0020904846531521,0.025427505557128076,0.2769289999999999,0.006222
2016-09-30,0.008917193859815598,0.05292152785805296,0.6126261860891256,0.0022674199642444943,0.025581044828819937,0.0616,0.0023479999999999
2016-10-31,0.008451348170638084,0.05177517197089317,0.6404720074274253,0.002161943164170582,0.02661158902681646,0.108513,0.00418
2016-11-30,0.013085804879665375,0.0838109172008288,0.6769282122014564,0.003482340615427644,0.02807605665101261,0.1763179999999999,0.0063069999999999
2016-12-31,0.10069962590932846,0.6816641773615717,0.7868744164158447,0.02827248401766083,0.0330722779489548,0.049429,0.001653
2017-01-31,0.04737794026732445,0.37280489098835673,0.740016654367194,0.01566896409169932,0.03132601314478654,,
2017-02-28,0.01663028448820114,0.12306687488133253,0.7583795829326436,0.005209605104789285,0.032180573195295534,,
2017-03-31,0.017120851203799248,0.12984103995389124,0.7932970607553905,0.005509588053296254,0.034194487315795455,,
2017-04-30,0.06541389226913452,0.5189264846967417,0.6445122158234803,0.02236794509473731,0.027256347121856248,,
2017-05-31,0.04398484528064728,0.2834877009448293,0.5941863038612327,0.011988662110704628,0.025057991940354647,,
2017-06-30,0.018355753272771835,0.10906737191737023,0.6017638442381054,0.004599583175682551,0.025232717768302954,,
2017-07-31,0.027158690616488457,0.16343118069851456,0.5748135800530978,0.006852875752825111,0.023801899217411205,,
2017-08-31,0.021169301122426987,0.12168401765404317,0.5720743717499437,0.005038695718190371,0.023178462497898147,,
2017-09-30,0.014382866211235523,0.08228069151756054,0.626682341144155,0.00333372725089409,0.024886384690647318,,
2017-10-31,0.02940019965171814,0.18424585947844294,0.6603850144398307,0.007316646785144929,0.026229286531083255,,
2017-11-30,0.03139228746294975,0.20730996209519387,0.6761625582727268,0.008233973027318417,0.027096775784571696,,
2017-12-31,0.037116292864084244,0.25096647536578953,0.7396703505534762,0.010057318656925893,0.030789922527311837,,
2018-01-31,0.04093221575021744,0.30276346372893853,0.7140195122159005,0.012602997518204085,0.02987697454704428,,
2018-02-28,0.016661107540130615,0.11896355878780723,0.7406873606459845,0.0049778348590205,0.03119470701159343,,
2018-03-31,0.013237311504781246,0.09804709320525147,0.7578238018756284,0.004129340540128459,0.03201204158859645,,
2018-04-30,0.024087386205792427,0.18253994591720182,0.7633298952430381,0.007710864089804116,0.03171546994886532,,
2018-05-31,0.17251761257648468,1.3168785113558708,0.3870984560399015,0.05471477157319491,0.015316816677369926,,
2018-06-30,0.0211583711206913,0.08190372793138843,0.409379823965089,0.0032407889164738674,0.01616589674090939,,
2018-07-31,0.009676806628704071,0.03961489394203079,0.43386071815382643,0.0015643425674137749,0.016988471752534685,,
2018-08-31,0.013470714911818504,0.058444140456870346,0.45372023210332535,0.002288468597658764,0.01703268167105931,,
2018-09-30,0.02173662558197975,0.09862346804198933,0.48425749039757504,0.003702330241408654,0.01801531240346098,,
2018-10-31,0.030647754669189453,0.14841404762422247,0.6074172599819978,0.005521288748300779,0.024084837551151247,,
2018-11-30,0.07510136812925339,0.45617867249970434,0.6425422506947024,0.018088042512622755,0.026730170497965628,,
2018-12-31,0.04378192871809006,0.2813173901827661,0.6673252550051777,0.01170298419364325,0.02860317607307757,,
2019-01-31,0.02223118022084236,0.14835428009939694,0.6833493321936829,0.006358823621690736,0.02947012785685827,,
2019-02-28,0.01202670019119978,0.08218437544150009,0.7027980774178364,0.0035442839233075936,0.030352296808481512,,
2019-03-31,0.008385800756514072,0.058935246492871275,0.7234886705849093,0.0025452831353850397,0.031237844951312748,,
2019-04-30,0.00726576941087842,0.052567018518529275,0.7458883689452336,0.0022696697830901103,0.03184967259983274,,
2019-05-31,0.08246726542711258,0.6151137410080266,0.5461734429106799,0.02626555404057042,0.0226229227998418,,
2019-06-30,0.01502405945211649,0.08205742277457208,0.5700392063366049,0.003398881371254649,0.023528844081833252,,
2019-07-31,0.007249057292938232,0.04132246865955087,0.5909854626596593,0.001705619387858199,0.024271714041141073,,
2019-08-31,0.004379567690193653,0.02588260837638392,0.612578231174368,0.0010629961460020107,0.02496812164345342,,
2019-09-30,0.004418200813233852,0.027064936391439476,0.632556346708892,0.0011031417535002767,0.025407782940096657,,
2019-10-31,0.004540872760117054,0.028723578840095663,0.6454528566967804,0.001153735094476517,0.025839152249565244,,
2019-11-30,0.0055121467448771,0.03557830863012783,0.678525501273396,0.0014242919896282485,0.02749499291061992,,
2019-12-31,0.02098124660551548,0.1423631087034813,0.6550049587313254,0.005768792266746164,0.02652111764781697,,
2020-01-31,0.011779309250414371,0.07715505969451185,0.668126660860072,0.003124004464402583,0.027056353616877624,,
2020-02-29,0.006963859777897596,0.04652740380104483,0.6795989203692859,0.0018841665268914825,0.027499791934621706,,
2020-03-31,0.005328855477273464,0.03621484429159002,0.6903055379809971,0.0014654241687468953,0.02791654296762101,,
2020-04-30,0.06014532223343849,0.4151864902139419,0.5632995242469215,0.01679049472431197,0.021437942292747453,,
2020-05-31,0.0901031419634819,0.5075505700118219,0.4251192293441481,0.019316259578083566,0.015872469712846657,,
2020-06-30,0.01914810575544834,0.08140227962156445,0.43289891096820904,0.0030392772866173856,0.01605557119129599,,
2020-07-31,0.00984870083630085,0.04263491866486327,0.44323319480757095,0.0015812651741900464,0.016297381268837043,,
2020-08-31,0.005823361687362194,0.025811072052095523,0.4574228995351505,0.0009490554568527989,0.016692043979587286,,
2020-09-30,0.005155398044735193,0.023581971218806175,0.48023971338137833,0.0008605413089499815,0.017135397375608076,,
2020-10-31,0.0054756272584199905,0.026296136651668783,0.4982669772137596,0.0009382704895373797,0.017833468268709077,,
2020-11-30,0.010410455986857414,0.05187186435988331,0.5030338108228506,0.0018565453650441414,0.017993106839669842,,
2020-12-31,0.007527745794504881,0.037867106539154774,0.5141029411242575,0.0013544753434240164,0.018377623131873314,,
2021-01-31,0.00504213897511363,0.025921784766631668,0.5233829273178293,0.0009266252986316826,0.018697053241032668,,
2021-02-28,0.003245013765990734,0.01698384804030884,0.5320426447015267,0.0006067219515061267,0.01899396887076852,,
2021-03-31,0.0027364124543964863,0.014558881192313024,0.5412505211249142,0.0005197533297639014,0.01934334137640333,,
2021-04-30,0.06729966402053833,0.3642597822264801,0.6556674860410802,0.013018003756665215,0.019968629979177328,,
2021-05-31,0.05488431081175804,0.3598585809304268,0.5765606613224885,0.010959644942621579,0.01749648836342268,,
2021-06-30,0.014722051098942757,0.08488155517629904,0.6024052822803266,0.00257584195738366,0.018224647590818963,,
2021-07-31,0.009397713467478752,0.05661232234166164,0.6202326538915437,0.0017127001610429357,0.01861054453757332,,
2021-08-31,0.008325756527483463,0.05163906066695911,0.6336196122194367,0.0015494686266372278,0.018809680469544166,,
2021-09-30,0.011441178619861603,0.07249355160450019,0.6484096373939703,0.0021520491403457707,0.018572342058986273,,
2021-10-31,0.03915989026427269,0.2539165024664472,0.6626085634073894,0.007272908769804388,0.02040052126915245,,
2021-11-30,0.024078980088233948,0.15954938404579833,0.6917979966517246,0.00491223745429515,0.022111637989666047,,
2021-12-31,0.025828752666711807,0.17868279350844116,0.7303450238257945,0.00571116028690953,0.024796056388488173,,
2022-01-31,0.0186935942620039,0.13652773546672972,0.7330756083963998,0.004635274174241677,0.025155824045991548,,
2022-02-28,0.009378430433571339,0.06875098595893621,0.7496291005748316,0.002359221458144928,0.025838850798769363,,
2022-03-31,0.007836367003619671,0.058743687486977024,0.7671022961696342,0.0020248271781092802,0.026716462470834236,,
2022-04-30,0.019315391778945923,0.14816881385045494,0.7947283315229366,0.005160389395716688,0.026872305594073505,,
2022-05-31,0.1818082183599472,1.4448814203435858,0.35538435287948283,0.04885606003282546,0.011618139283348577,,
2022-06-30,0.03175923600792885,0.11286735536624563,0.36099304297209495,0.003689832274728568,0.011772295771846332,,
2022-07-31,0.0462036207318306,0.16679185644312097,0.3331638155285102,0.005439226889853209,0.01067114104946134,,
2022-08-31,0.046928152441978455,0.15634762323273113,0.31169171008265173,0.005007769338989757,0.009696214165163641,,
2022-09-30,0.02633548714220524,0.08208553023213638,0.3458875908367882,0.0025535452347473534,0.009787977657837791,,
2022-10-31,0.04777367785573006,0.16524322338931285,0.4174284962020727,0.004676076914846258,0.013208718584848284,,
2022-11-30,0.07316480576992035,0.3054107484745458,0.47731141764491924,0.009664133297299617,0.017220095875334164,,
2022-12-31,0.033742040395736694,0.16105461135521212,0.475272582667562,0.005810411706439843,0.017307836402586714,,
2023-01-31,0.0136073874309659,0.06467218167673286,0.49503938443308915,0.0023551443552177254,0.018066630595346606,,
2023-02-28,0.007463983725756407,0.03694965909017047,0.5134200769412904,0.0013484903674291985,0.018719482695457156,,
2023-03-31,0.0055832467041909695,0.02866550952447934,0.5281801515825909,0.0010451549006357107,0.019245494774809167,,
2023-04-30,0.0347018837928772,0.18328846241923336,0.4719937615953365,0.00667854923211853,0.017115697385278718,,
2023-05-31,0.10022920370101929,0.4730755887654932,0.32108385090464464,0.017154927197141037,0.011523818929610031,,
2023-06-30,0.0157516747713089,0.050576083937693986,0.33734676577783335,0.0018151944790267026,0.012036606757371983,,
2023-07-31,0.0074102263897657394,0.024998159062690224,0.3527551188958152,0.0008919398103671049,0.012486442100687487,,
2023-08-31,0.00542891351506114,0.019150770324804903,0.3713012786085469,0.000677878142754507,0.01294855884709523,,
2023-09-30,0.0041233086958527565,0.015309897908678686,0.38453794902788024,0.000533909052929889,0.013256069547720961,,
2023-10-31,0.004136703442782164,0.015907194576240246,0.40698583776611974,0.000548364285358171,0.014068106923172053,,
2023-11-30,0.016697900369763374,0.06795808970923346,0.4484459006877111,0.002349078477943053,0.01658703616791105,,
2023-12-31,0.04702316224575043,0.21087344346479922,0.5567745079587768,0.007799748928998117,0.02258402925763958,,
2024-01-31,0.0660720020532608,0.3678720643305558,0.5148826746025271,0.014921720274816641,0.02116616423054235,,
2024-02-29,0.01666906662285328,0.0858261360590241,0.5523106682160754,0.0035282020170916448,0.023118213568611132,,
2024-03-31,0.03877483680844307,0.2141575602764047,0.5912558294036033,0.008964049584256308,0.025848452652670474,,
2024-04-30,0.03151823580265045,0.1863534065083444,0.5700750397581941,0.008146976258405134,0.024881866978614445,,
2024-05-31,0.028400471433997154,0.16190399881887385,0.5511975348028753,0.007066567523506567,0.023976020449405066,,
2024-06-30,0.017883270978927612,0.09857214877796702,0.5489734180581628,0.004287696706930206,0.023838006417436813,,
2024-07-31,0.00862287636846304,0.047337299134881126,0.5687747739933285,0.0020555218220818616,0.024598192678725758,,
2024-08-31,0.006349942646920681,0.03611687193872908,0.5917411587490465,0.0015619711272781276,0.025280318259017387,,
2024-09-30,0.005621137097477913,0.03326258179548833,0.6085245205094773,0.001421041348018109,0.025579901806387237,,
2024-10-31,0.007139940746128559,0.0434482901900396,0.6345712990003224,0.0018263898318939176,0.026664348624631455,,
2024-11-30,0.05256715416908264,0.33357607305824977,0.7079887280937615,0.014016689249691683,0.029360891251558965,,
